Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EmployeeCount;EmployeeNumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
41;Yes;Travel_Rarely;1102;Sales;1;2;Life Sciences;1;1;2;Female;94;3;2;Sales Executive;4;Single;5993;19479;8;Y;Yes;11;3;1;80;0;8;0;1;6;4;0;5
37;Yes;Travel_Rarely;1373;Research & Development;2;2;Other;1;4;4;Male;92;2;1;Laboratory Technician;3;Single;2090;2396;6;Y;Yes;15;3;2;80;0;7;3;3;0;0;0;0
28;Yes;Travel_Rarely;103;Research & Development;24;3;Life Sciences;1;19;3;Male;50;2;1;Laboratory Technician;3;Single;2028;12947;5;Y;Yes;14;3;2;80;0;6;4;3;4;2;0;3
36;Yes;Travel_Rarely;1218;Sales;9;4;Life Sciences;1;27;3;Male;82;2;1;Sales Representative;1;Single;3407;6986;7;Y;No;23;4;2;80;0;10;4;3;5;3;0;3
34;Yes;Travel_Rarely;699;Research & Development;6;1;Medical;1;31;2;Male;83;3;1;Research Scientist;1;Single;2960;17102;2;Y;No;11;3;3;80;0;8;2;3;4;2;1;3
32;Yes;Travel_Frequently;1125;Research & Development;16;1;Life Sciences;1;33;2;Female;72;1;1;Research Scientist;1;Single;3919;4681;1;Y;Yes;22;4;2;80;0;10;5;3;10;2;6;7
39;Yes;Travel_Rarely;895;Sales;5;3;Technical Degree;1;42;4;Male;56;3;2;Sales Representative;4;Married;2086;3335;3;Y;No;14;3;3;80;1;19;6;4;1;0;0;0
24;Yes;Travel_Rarely;813;Research & Development;1;3;Medical;1;45;2;Male;61;3;1;Research Scientist;4;Married;2293;3020;2;Y;Yes;16;3;1;80;1;6;2;2;2;0;2;0
50;Yes;Travel_Rarely;869;Sales;3;2;Marketing;1;47;1;Male;86;2;1;Sales Representative;3;Married;2683;3810;1;Y;Yes;14;3;3;80;0;3;2;3;3;2;0;2
26;Yes;Travel_Rarely;1357;Research & Development;25;3;Life Sciences;1;55;1;Male;48;1;1;Laboratory Technician;3;Single;2293;10558;1;Y;No;12;3;3;80;0;1;2;2;1;0;0;1
41;Yes;Travel_Rarely;1360;Research & Development;12;3;Technical Degree;1;58;2;Female;49;3;5;Research Director;3;Married;19545;16280;1;Y;No;12;3;4;80;0;23;0;3;22;15;15;8
48;Yes;Travel_Rarely;626;Research & Development;1;2;Life Sciences;1;64;1;Male;98;2;3;Laboratory Technician;3;Single;5381;19294;9;Y;Yes;13;3;4;80;0;23;2;3;1;0;0;0
28;Yes;Travel_Rarely;1434;Research & Development;5;4;Technical Degree;1;65;3;Male;50;3;1;Laboratory Technician;3;Single;3441;11179;1;Y;Yes;13;3;3;80;0;2;3;2;2;2;2;2
36;Yes;Travel_Rarely;318;Research & Development;9;3;Medical;1;90;4;Male;79;2;1;Research Scientist;3;Married;3388;21777;0;Y;Yes;17;3;1;80;1;2;0;2;1;0;0;0
46;Yes;Travel_Rarely;669;Sales;9;2;Medical;1;118;3;Male;64;2;3;Sales Executive;4;Single;9619;13596;1;Y;No;16;3;4;80;0;9;3;3;9;8;4;7
37;Yes;Travel_Rarely;807;Human Resources;6;4;Human Resources;1;133;3;Male;63;3;1;Human Resources;1;Divorced;2073;23648;4;Y;Yes;22;4;4;80;0;7;3;3;3;2;0;2
20;Yes;Travel_Frequently;871;Research & Development;6;3;Life Sciences;1;137;4;Female;66;2;1;Laboratory Technician;4;Single;2926;19783;1;Y;Yes;18;3;2;80;0;1;5;3;1;0;1;0
25;Yes;Travel_Rarely;240;Sales;5;3;Marketing;1;142;3;Male;46;2;2;Sales Executive;3;Single;5744;26959;1;Y;Yes;11;3;4;80;0;6;1;3;6;4;0;3
34;Yes;Travel_Frequently;658;Research & Development;7;3;Life Sciences;1;147;1;Male;66;1;2;Laboratory Technician;3;Single;6074;22887;1;Y;Yes;24;4;4;80;0;9;3;3;9;7;0;6
56;Yes;Travel_Rarely;441;Research & Development;14;4;Life Sciences;1;161;2;Female;72;3;1;Research Scientist;2;Married;4963;4510;9;Y;Yes;18;3;1;80;3;7;2;3;5;4;4;3
31;Yes;Travel_Rarely;249;Sales;6;4;Life Sciences;1;163;2;Male;76;1;2;Sales Executive;3;Married;6172;20739;4;Y;Yes;18;3;2;80;0;12;3;2;7;7;7;7
58;Yes;Travel_Rarely;147;Research & Development;23;4;Medical;1;165;4;Female;94;3;3;Healthcare Representative;4;Married;10312;3465;1;Y;No;12;3;4;80;1;40;3;2;40;10;15;6
19;Yes;Travel_Rarely;528;Sales;22;1;Marketing;1;167;4;Male;50;3;1;Sales Representative;3;Single;1675;26820;1;Y;Yes;19;3;4;80;0;0;2;2;0;0;0;0
31;Yes;Travel_Rarely;542;Sales;20;3;Life Sciences;1;175;2;Female;71;1;2;Sales Executive;3;Married;4559;24788;3;Y;Yes;11;3;3;80;1;4;2;3;2;2;2;2
51;Yes;Travel_Frequently;1150;Research & Development;8;4;Life Sciences;1;179;1;Male;53;1;3;Manufacturing Director;4;Single;10650;25150;2;Y;No;15;3;4;80;0;18;2;3;4;2;0;3
32;Yes;Travel_Rarely;1033;Research & Development;9;3;Medical;1;190;1;Female;41;3;1;Laboratory Technician;1;Single;4200;10224;7;Y;No;22;4;1;80;0;10;2;4;5;4;0;4
19;Yes;Travel_Frequently;602;Sales;1;1;Technical Degree;1;235;3;Female;100;1;1;Sales Representative;1;Single;2325;20989;0;Y;No;21;4;1;80;0;1;5;4;0;0;0;0
19;Yes;Travel_Rarely;303;Research & Development;2;3;Life Sciences;1;243;2;Male;47;2;1;Laboratory Technician;4;Single;1102;9241;1;Y;No;22;4;3;80;0;1;3;2;1;0;1;0
